"block","Treatment","Date","NEE","ER","Repro_culm"
"H1","S2",2020-07-15,1.74627225942948,2.52901573382973,1.75
"H1","S1",2020-07-15,2.29183934733301,3.13636848901992,1.5625
"H1","S3",2020-07-15,2.12813135317565,2.70569706432958,6.25925925925926
"H1","S4",2020-07-15,1.91433117900839,3.09514994433874,7.16
"H2","S2",2020-07-15,2.45235766282705,2.69588778762758,2.6
"H2","S3",2020-07-15,2.7245741427467,4.09044637897615,2
"H2","S1",2020-07-15,2.81952715435065,4.19655020125076,1.27272727272727
"H2","S4",2020-07-15,2.04974628737213,1.70660892491795,2.72727272727273
"H3","S4",2020-07-15,1.21854804830614,1.84108767700759,2.13333333333333
"H3","S2",2020-07-15,1.30687109909606,2.15035769817555,1.625
"H3","S3",2020-07-15,0.95708527325643,2.77026653777109,3.27272727272727
"H3","S1",2020-07-15,1.37115006164656,2.7385110792185,0.222222222222222
"H4","S3",2020-07-15,3.14131065623821,2.97181405761681,0.833333333333333
"H4","S1",2020-07-15,3.13598396352451,3.05256529495831,0
"H4","S4",2020-07-15,2.66367309457091,2.78196336624032,3.53066666666667
"H4","S2",2020-07-15,2.30676907530188,3.12272150132005,1.66666666666667
"H5","S3",2020-07-15,2.02537369189383,2.68434184671505,1.38709677419355
"H5","S4",2020-07-15,2.07138203389134,3.19702621046893,4.16
"H5","S2",2020-07-15,3.06706921761564,2.60395958333833,0.92
"H5","S1",2020-07-15,1.47286295669222,1.91424214677178,0.9375
"H1","S4",2020-07-22,-0.510208316943852,0.943594593206295,7.16
"H1","S2",2020-07-22,-0.626173061757278,0.98594123307413,1.75
"H1","S1",2020-07-22,0.00105409833317639,0.57696981231277,1.5625
"H1","S3",2020-07-22,-0.892395782367307,0.610145143847204,6.25925925925926
"H3","S4",2020-07-22,-0.533873732210878,0.176857341005578,2.13333333333333
"H3","S2",2020-07-22,-0.916105156484123,0.785900906233617,1.625
"H3","S3",2020-07-22,-0.826679779944801,0.345066407282325,3.27272727272727
"H3","S1",2020-07-22,-0.836294642144068,0,0.222222222222222
"H5","S3",2020-07-22,-1.09140315932636,0.862367307410685,1.38709677419355
"H5","S4",2020-07-22,-0.0836783179325005,0.386925645614688,4.16
"H5","S1",2020-07-22,-1.65814047448983,1.35380562532378,0.9375
"H5","S2",2020-07-22,-1.13145525492931,0.403479121994801,0.92
"H4","S3",2020-07-22,0.480197344220618,0.712459491918205,0.833333333333333
"H4","S2",2020-07-22,0.651249979452295,0,1.66666666666667
"H4","S1",2020-07-22,-0.768454463220053,0.433786401851973,0
"H4","S4",2020-07-22,0.480398776230591,0.529962083369865,3.26266666666667
"H2","S2",2020-07-22,0.045234600435851,1.4943418742853,2.6
"H2","S3",2020-07-22,0.530412108056695,0.886397624990964,2
"H2","S1",2020-07-22,0.537142781850035,1.55353520810881,1.27272727272727
"H2","S4",2020-07-22,0.385686038132128,1.32930362791094,2.72727272727273
"H1","S4",2020-07-29,-1.56284398893658,0.682395071607977,7.16
"H1","S2",2020-07-29,-1.55635305545385,0.779405058234756,1.75
"H1","S1",2020-07-29,-0.659547680781077,1.1619509808949,1.5625
"H1","S3",2020-07-29,-1.02992990334835,2.29814320737642,6.25925925925926
"H3","S4",2020-07-29,-0.184157994757871,0.695801781576977,2.13333333333333
"H3","S2",2020-07-29,-1.13665209589993,2.16807221773596,1.625
"H3","S3",2020-07-29,-0.126407026179879,1.71457886429592,3.27272727272727
"H3","S1",2020-07-29,-1.23759276723046,1.3448213846857,0.222222222222222
"H5","S3",2020-07-29,-1.91969481225469,2.09452894900655,1.38709677419355
"H5","S4",2020-07-29,0.135914073303202,0.975504038074724,4.16
"H5","S1",2020-07-29,-2.46060787157538,2.02149472505924,0.9375
"H5","S2",2020-07-29,-2.93587774986263,2.57310887144469,0.92
"H4","S3",2020-07-29,0.189428244252097,1.93945476433131,0.833333333333333
"H4","S2",2020-07-29,-0.734920046870673,1.32623047954445,1.66666666666667
"H4","S1",2020-07-29,-0.542978022746921,1.049445195989,0
"H4","S4",2020-07-29,0.0474377958181285,0.324448275558289,1.76533333333333
"H2","S2",2020-07-29,0.107442278068825,1.05481715693757,2.6
"H2","S3",2020-07-29,0.639205054842443,1.46047793784491,2
"H2","S1",2020-07-29,-1.17768660455588,0.966649824731308,1.27272727272727
"H2","S4",2020-07-29,-0.243619420129196,0.342142882476528,2.72727272727273
"H1","S4",2020-08-05,-1.08593012745305,2.4452114600682,7.16
"H1","S2",2020-08-05,-0.0822848892191603,1.10487704676884,1.75
"H1","S1",2020-08-05,-0.201942669684569,1.70022875564313,1.5625
"H1","S3",2020-08-05,-1.75586189670982,1.86145550824488,6.25925925925926
"H3","S4",2020-08-05,0.425335600998079,1.72014828431744,2.13333333333333
"H3","S2",2020-08-05,-2.67976619716445,1.18337493941818,1.625
"H3","S3",2020-08-05,-1.45636917986998,0.535102183815063,3.27272727272727
"H3","S1",2020-08-05,-1.07487384414305,0.281151642961642,0.222222222222222
"H5","S3",2020-08-05,-1.93721019431854,1.41867539663893,1.38709677419355
"H5","S4",2020-08-05,-1.02062693464407,1.65969005582366,4.16
"H5","S1",2020-08-05,-2.14023401433452,1.42654113966867,0.9375
"H5","S2",2020-08-05,-3.37249094952693,1.89860575813805,0.92
"H4","S3",2020-08-05,-1.211451613112,0.167663955066926,0.833333333333333
"H4","S2",2020-08-05,-2.12508950381011,1.04965573532558,1.66666666666667
"H4","S1",2020-08-05,-1.33512876111465,0.312416269202203,0
"H4","S4",2020-08-05,0.379462034864036,0.80793367838418,3.096
"H2","S2",2020-08-05,-0.807797397427979,0.450944280360009,2.6
"H2","S3",2020-08-05,-1.05520303616909,0,2
"H2","S1",2020-08-05,-1.88385497581738,1.03743932180464,1.27272727272727
"H2","S4",2020-08-05,1.27416478399456,1.87327794119973,2.72727272727273
"H1","S4",2020-08-12,-3.65118147257241,1.36793328534846,7.16
"H1","S2",2020-08-12,-1.28980781429362,0.570144838542624,1.75
"H1","S1",2020-08-12,-1.75693791471432,0.471435978270737,1.5625
"H1","S3",2020-08-12,-3.403812308513,2.63239267415624,6.25925925925926
"H3","S4",2020-08-12,-1.48234726430738,1.46848531366163,2.13333333333333
"H3","S2",2020-08-12,-2.45563565736013,1.93853161218788,1.625
"H3","S3",2020-08-12,-1.50501990335637,2.07104944162507,3.27272727272727
"H3","S1",2020-08-12,-1.43476140329177,1.16502738130959,0.222222222222222
"H5","S3",2020-08-12,-3.18640908294112,2.70940322661155,1.38709677419355
"H5","S4",2020-08-12,-2.22304618554611,1.93280518234421,4.16
"H5","S1",2020-08-12,-0.934950132223045,2.0510100822948,0.9375
"H5","S2",2020-08-12,-1.54476832014797,2.36029740969854,0.92
"H4","S3",2020-08-12,-0.506815068039689,1.71549193537884,0.833333333333333
"H4","S2",2020-08-12,-1.97965935841408,2.30248588081513,1.66666666666667
"H4","S1",2020-08-12,-1.39776735383131,1.1968728188125,0
"H4","S4",2020-08-12,0.0342102477221242,0.455786008384495,3.1765
"H2","S2",2020-08-12,-0.560489365136181,0.906779017847632,2.6
"H2","S3",2020-08-12,-0.0423231446101012,0.985789722182426,2
"H2","S1",2020-08-12,-0.730237715686907,1.11385752323118,1.27272727272727
"H2","S4",2020-08-12,-0.671639304510888,1.12008230910587,2.72727272727273
"H1","S4",2020-08-19,-2.839926306,1.509677255,7.16
"H1","S2",2020-08-19,-1.56049933,0.929825254,1.75
"H1","S1",2020-08-19,-1.142543584,1.061954179,1.5625
"H1","S3",2020-08-19,-1.888045232,1.28548375,6.25925925925926
"H3","S4",2020-08-19,-1.376865696,0.444022287,2.13333333333333
"H3","S2",2020-08-19,-3.096548725,1.278139403,1.625
"H3","S3",2020-08-19,-1.357289008,0.634942422,3.27272727272727
"H3","S1",2020-08-19,-1.284757779,0.366024971,0.222222222222222
"H5","S3",2020-08-19,-0.84317186,0.258846916,1.38709677419355
"H5","S4",2020-08-19,-0.802580776,0.736682972,4.16
"H5","S1",2020-08-19,-0.249485098,0.98171708,0.9375
"H5","S2",2020-08-19,-1.928793629,1.47028397,0.92
"H4","S3",2020-08-19,-0.753109569,0.733912582,0.833333333333333
"H4","S2",2020-08-19,-2.780977414,1.645854747,1.66666666666667
"H4","S1",2020-08-19,-0.48726872,0.373769092,0
"H4","S4",2020-08-19,-0.212725787,0.265030179,4.296
"H2","S2",2020-08-19,-1.318752336,0.912573524,2.6
"H2","S3",2020-08-19,-0.687865155,0.405962267,2
"H2","S1",2020-08-19,-1.082197411,0.352956354,1.27272727272727
"H2","S4",2020-08-19,-0.888760659,0.104478428,2.72727272727273
"H1","S4",2020-08-26,-3.57216236807299,3.44591807254942,7.16
"H1","S2",2020-08-26,-1.23874524437722,0.532556125807198,1.75
"H1","S1",2020-08-26,-1.25502113374789,0.0471990191996019,1.5625
"H1","S3",2020-08-26,-5.7707638352999,2.27040547031057,6.25925925925926
"H3","S4",2020-08-26,-0.193744958207509,2.19229985212924,2.13333333333333
"H3","S2",2020-08-26,-0.487166516973115,2.0589793385442,1.625
"H3","S3",2020-08-26,-1.48623637641883,1.91200605265869,3.27272727272727
"H3","S1",2020-08-26,-0.74409852035371,0.671309178850724,0.222222222222222
"H5","S3",2020-08-26,-0.671407971931709,2.55863014634572,1.38709677419355
"H5","S4",2020-08-26,-0.715131674366513,3.02723083655181,4.16
"H5","S1",2020-08-26,-0.160099529179065,1.34244653162284,0.9375
"H5","S2",2020-08-26,-1.37409356665149,1.76270027357294,0.92
"H4","S3",2020-08-26,-0.975371016039281,1.71051228400294,0.833333333333333
"H4","S2",2020-08-26,-2.24126968866326,2.33613843069872,1.66666666666667
"H4","S1",2020-08-26,-0.602321644841203,0.786574357874646,0
"H4","S4",2020-08-26,-0.246375332058057,1.60688453021252,0.832
"H2","S2",2020-08-26,0.0565128080719612,0.88518511530772,2.6
"H2","S3",2020-08-26,0.339056250926484,0.792075046332798,2
"H2","S1",2020-08-26,-0.176511945137171,0.592726615993172,1.27272727272727
"H2","S4",2020-08-26,-0.0504851568947603,1.80611895102128,2.72727272727273
"H1","S4",2020-09-02,-7.80762223854308,1.31403870251752,7.16
"H1","S2",2020-09-02,-2.36682681135247,0.836659778719366,1.75
"H1","S1",2020-09-02,-1.90450279087763,0.501392029014207,1.5625
"H1","S3",2020-09-02,-3.46119901824387,0.623961184128535,6.25925925925926
"H3","S4",2020-09-02,-3.0787215543283,1.34985148878027,2.13333333333333
"H3","S2",2020-09-02,-3.87548419121715,0.658182967468441,1.625
"H3","S3",2020-09-02,-2.4470512222786,0.754469847853468,3.27272727272727
"H3","S1",2020-09-02,-1.72599110252179,0,0.222222222222222
"H5","S3",2020-09-02,-1.99724594733638,0.837927904660802,1.38709677419355
"H5","S4",2020-09-02,-4.50705445403444,1.80646317351155,4.16
"H5","S1",2020-09-02,-1.83234503216808,1.00581009449429,0.9375
"H5","S2",2020-09-02,-2.13349167068641,1.42107065318256,0.92
"H4","S3",2020-09-02,-0.848988215932614,0.661903372361805,0.833333333333333
"H4","S2",2020-09-02,-4.51080043781137,2.24839520254954,1.66666666666667
"H4","S1",2020-09-02,-1.66542957345543,0.997403890269197,0
"H4","S4",2020-09-02,-0.653173270054165,0.20820670523417,3.26266666666667
"H2","S2",2020-09-02,-1.26265312744727,0.963374136991936,2.6
"H2","S3",2020-09-02,-1.49874618956549,0.788541425790003,2
"H2","S1",2020-09-02,-1.4995515498636,0.852219207531002,1.27272727272727
"H2","S4",2020-09-02,-2.36763266807867,1.20419056724023,2.72727272727273
"H1","S4",2020-09-10,-3.64725871339196,0,7.16
"H1","S2",2020-09-10,-2.75302089191296,0.0912370013067533,1.75
"H1","S1",2020-09-10,-2.13710886104943,0.0216624136167481,1.5625
"H1","S3",2020-09-10,-3.6005208459646,1.5341407413559,6.25925925925926
"H3","S4",2020-09-10,-1.39006074066649,0.0211965117179667,2.13333333333333
"H3","S2",2020-09-10,-3.09525444471707,1.03816898878563,1.625
"H3","S3",2020-09-10,-3.30129447324622,1.22600330073416,3.27272727272727
"H3","S1",2020-09-10,-0.764736622726013,0,0.222222222222222
"H5","S3",2020-09-10,-3.52779873950001,1.37522300622813,1.38709677419355
"H5","S4",2020-09-10,-1.03102932579928,0.244730437463654,4.16
"H5","S1",2020-09-10,-0.896832831163355,0.211209433461799,0.9375
"H5","S2",2020-09-10,-1.68643996598655,1.00163384422654,0.92
"H4","S3",2020-09-10,-0.573179436112751,0.360510541825837,0.833333333333333
"H4","S2",2020-09-10,-1.54291680258838,0.941808206731219,1.66666666666667
"H4","S1",2020-09-10,-0.651137241593336,0,0
"H4","S4",2020-09-10,-0.293710101928967,0.183049459710629,2.80945454545455
"H2","S2",2020-09-10,-0.507226036640494,0.574871935254957,2.6
"H2","S3",2020-09-10,-1.53472547086248,1.35537106606233,2
"H2","S1",2020-09-10,-0.434039744843711,0.316685403186268,1.27272727272727
"H2","S4",2020-09-10,-0.809911034608721,0.299831616891557,2.72727272727273
"H1","S4",2020-09-16,-5.40589211605067,2.17409405488766,7.16
"H1","S2",2020-09-16,-2.04304928891461,0.714608303382502,1.75
"H1","S1",2020-09-16,-0.741190507362859,0,1.5625
"H1","S3",2020-09-16,-0.980658815481124,0.830690626533025,6.25925925925926
"H3","S4",2020-09-16,-2.45619684638895,1.53539579818561,2.13333333333333
"H3","S2",2020-09-16,-2.20169915989539,0.0971090320338025,1.625
"H3","S3",2020-09-16,-1.443560322337,0.235959989682339,3.27272727272727
"H3","S1",2020-09-16,-1.59778812760063,0.000967863739786318,0.222222222222222
"H5","S3",2020-09-16,-0.528145091481349,0.44847774799383,1.38709677419355
"H5","S4",2020-09-16,-2.86945020018726,1.9296388248755,4.16
"H5","S1",2020-09-16,-0.557611877225,0,0.9375
"H5","S2",2020-09-16,-0.609359787474693,0.79670554570572,0.92
"H4","S3",2020-09-16,-0.77145693745323,0,0.833333333333333
"H4","S2",2020-09-16,-1.14332487393427,1.11103672898391,1.66666666666667
"H4","S1",2020-09-16,-1.6601125561536,0,0
"H4","S4",2020-09-16,-0.364996977459932,1.0155332964148,2.99745454545454
"H2","S2",2020-09-16,-1.00941325406143,0.49542996322725,2.6
"H2","S3",2020-09-16,-1.22248141539788,0.0305420931806329,2
"H2","S1",2020-09-16,-0.785539512770462,0,1.27272727272727
"H2","S4",2020-09-16,-1.02321543555565,1.40629596775904,2.72727272727273
"H1","S4",2020-09-23,-6.71777241806234,2.58856381174988,7.16
"H1","S2",2020-09-23,-1.59861781580059,0,1.75
"H1","S1",2020-09-23,-1.64399981000538,0,1.5625
"H1","S3",2020-09-23,-2.44250761741964,1.89136453901135,6.25925925925926
"H3","S4",2020-09-23,-1.97100267905811,1.52341004753468,2.13333333333333
"H3","S2",2020-09-23,-1.20351600490345,1.00296176104176,1.625
"H3","S3",2020-09-23,-2.14247711806839,1.27015770445286,3.27272727272727
"H3","S1",2020-09-23,-0.869387899118847,0.108914722322486,0.222222222222222
"H5","S3",2020-09-23,-2.30339018306369,1.52245014663632,1.38709677419355
"H5","S4",2020-09-23,-2.14820704890538,1.58564305321899,4.16
"H5","S1",2020-09-23,-1.14918411429503,0,0.9375
"H5","S2",2020-09-23,-0.42010042634565,0,0.92
"H4","S3",2020-09-23,-0.692842094823435,0.673579200674973,0.833333333333333
"H4","S2",2020-09-23,-0.734764546941906,0.709763254056928,1.66666666666667
"H4","S1",2020-09-23,-0.760320448686787,0,0
"H4","S4",2020-09-23,-0.685868883645181,0,4.24145454545455
"H2","S2",2020-09-23,-0.527192322731803,0,2.6
"H2","S3",2020-09-23,-1.67303066354134,0.488288980702271,2
"H2","S1",2020-09-23,-1.06241043925268,0,1.27272727272727
"H2","S4",2020-09-23,-1.45636967303563,1.13911172409275,2.72727272727273
"H1","S4",2020-09-30,-2.4595981998756,0.761719042187282,7.16
"H1","S2",2020-09-30,-2.12912965459588,0.528195434261217,1.75
"H1","S1",2020-09-30,-1.63801077878374,0,1.5625
"H1","S3",2020-09-30,-1.22167462682752,0.445553105047944,6.25925925925926
"H3","S4",2020-09-30,-1.15029360015817,0.366620640706992,2.13333333333333
"H3","S2",2020-09-30,-1.38499334976421,0,1.625
"H3","S3",2020-09-30,-1.89864116560567,0.366845325568278,3.27272727272727
"H3","S1",2020-09-30,-1.29155317459807,0,0.222222222222222
"H5","S3",2020-09-30,-0.208428838787626,0,1.38709677419355
"H5","S4",2020-09-30,-0.796759838109084,0,4.16
"H5","S1",2020-09-30,-1.10371098706916,0,0.9375
"H5","S2",2020-09-30,-0.655364976737443,0.499034191775131,0.92
"H4","S3",2020-09-30,-0.759279548980633,0,0.833333333333333
"H4","S2",2020-09-30,-0.576262227523535,0.00945420628192864,1.66666666666667
"H4","S1",2020-09-30,-0.311052532738901,0,0
"H4","S4",2020-09-30,-0.403673985698342,0,1.54412121212121
"H2","S2",2020-09-30,-0.920758509580749,0,2.6
"H2","S3",2020-09-30,-1.18981211268223,0,2
"H2","S1",2020-09-30,-0.850074155285472,0,1.27272727272727
"H2","S4",2020-09-30,-1.09872572076162,0,2.72727272727273
